Latitude,Longitude,Substation Name,Substation Type,Substation Voltage
36.86746717898991,-97.67234115331733,Renfrow Substation,Transmission,345000
38.64609900747622,-96.46292082706539,Morris County Substation,Transmission,345000
37.3048891027816,-97.2127809242278,Sumner County Substation,Transmission,138000
37.084336532525946,-97.13521716364946,Creswell Substation,Transmission,138000
37.407245508887634,-97.20660466211437,Belle Plaine Substation,Transmission,138000
36.8173260388742,-97.1256512384247,Ranch Road Substation,Transmission,345000
37.50017824238953,-96.56116769653958,Latham Substation,Transmission,345000
38.84266184297176,-95.59052267660658,Swissvale Substation,Transmission,345000
38.44283620175436,-96.06370885876106,Lang Substation,Transmission,345000
37.471344058849276,-96.41908866615415,Caney Substation,Transmission,345000
37.549727560902156,-96.54472377915002,Elk River Substation,Transmission,345000
37.304526472631494,-95.11706671747191,Neosho 345kV Substation,Transmission,345000
39.275418891423016,-95.67920876485258,Hoyt Substation,Transmission,345000
39.26190988309818,-95.03232751680976,Stranger Creek Substation,Transmission,345000
38.266171904220215,-95.58781536478826,Waverly Switching Station,Transmission,345000
38.97240621527144,-94.87955317775987,87th Street Substation,Transmission,345000
39.44982598513985,-94.9766206744208,Iatan 345kV Substation,Transmission,345000
38.78328025499931,-94.65343627567768,Stilwell Substation,Transmission,345000
38.348143177287064,-94.64118666533153,La Cygne Substation,Transmission,345000
38.93253507988559,-94.81006950725971,Craig Substation,Transmission,345000
38.78779721641834,-94.98867198386934,West Gardner Substation,Transmission,345000
38.74901754290275,-94.49490619669011,Peculiar 345kV Substation,Transmission,345000
37.332211890914465,-94.60955559245173,Blackberry Substation,Transmission,345000
37.85364540424599,-99.7384330503738,Ironwood,Transmission,345000
37.92631706408052,-100.97189263901926,Holcomb Substation,Transmission,345000
36.49650745708337,-101.39170282506356,Hitchland Substation,Transmission,345000
38.48599586093638,-100.96889260231713,Setab Substation,Transmission,345000
39.30892020624341,-100.92024669652899,Mingo Substation,Transmission,345000
40.30347783673662,-100.71019012735873,Red Willow Substation,Transmission,345000
32.585846348202296,-93.99383830455096,Longwood Substation,Transmission,345000
32.74435488771362,-94.6983019662633,Diana Substation,Transmission,345000
44.531227900399294,-96.1620322749457,Hawks Nest Lake Substation,Transmission,345000
44.47384975404639,-95.67381852818097,Lyon County Substation,Transmission,345000
44.389528137168305,-96.52929121580472,Brookings County Substation,Transmission,345000
39.734799505043796,-94.76138434857275,Eastowne Substation,Transmission,345000
40.405966520917374,-98.35581708861125,Pauline Substation,Transmission,345000
41.05251444567145,-99.28124980203343,Sweetwater Substation,Transmission,345000
40.91148166823056,-98.26236296920729,Grand Island Substation,Transmission,345000
41.0808460408766,-101.1472653332208,Gentleman Substation,Transmission,345000
42.61940315278504,-98.31429285068926,Grand Prairie Substation,Transmission,345000
44.13109856612709,-99.43596886847675,Fort Thompson Substation,Transmission,345000
40.72161512051035,-97.6195767291649,McCool Substation,Transmission,345000
40.56358118520163,-96.78857395053734,Moore Substation,Transmission,345000
42.07796096042975,-97.35441906821315,Hoskins Substation,Transmission,345000
42.329423829745494,-96.36538619221008,Raun Substation,Transmission,345000
41.42540187374797,-97.28039147025511,Columbus East Substation,Transmission,345000
40.83027628338268,-96.81263906178116,Northwest 68th & West Holdrege,Transmission,345000
40.840132567406485,-96.54729586020487,Wagener Substation,Transmission,345000
40.71328265314412,-96.58293969961257,103rd & Rokeby Substation,Transmission,345000
40.61847611614021,-95.78068779994774,Nebraska City Substation,Transmission,345000
41.5187322685435,-96.08103705552551,Fort Calhoun Substation,Transmission,345000
